TRADE NAME,POSTAL CITY,COUNTY,STREET ADDRESS,ZIP,Med Grade,Delivery,Full Address,long,lat
TWENTY AFTER FOUR WELLNESS CENTER,EUGENE,LANE,420 BLAIR BLVD SUITE A ,97402,,Yes,"420 BLAIR BLVD SUITE A , EUGENE, OR",-123.1092306,44.0550709
BUDS 4 U,FLORENCE,LANE,1480 RHODODENDRON DR ,97439,Yes,Yes,"1480 RHODODENDRON DR , FLORENCE, OR",-124.1049541,43.9708792
HARVEST MOON CANNABIS,FLORENCE,LANE,85289 HWY 101 ,97439,Yes,,"85289 HWY 101 , FLORENCE, OR",-124.1038922,43.9511145
PREMIUM CHOICE MARIJUANA,FLORENCE,LANE,1770 HWY 126  ,97439,Yes,Yes,"1770 HWY 126  , FLORENCE, OR",-124.1022369,43.9739839
THE ARBORETUM,FLORENCE,LANE,1541 HWY 101 ,97439,Yes,Yes,"1541 HWY 101 , FLORENCE, OR",-124.1015096,43.9804257
BUDS 4 U,MAPLETON,LANE,10778 HIGHWAY 126 ,97453,Yes,,"10778 HIGHWAY 126 , MAPLETON, OR",-123.8570988,44.0250832
GREEN OAKS,OAKRIDGE,LANE,48122 OREGON 58 #A ,97463,Yes,Yes,"48122 OREGON 58 #A , OAKRIDGE, OR",-122.4643711,43.74332769999999
PHRESH START,OAKRIDGE,LANE,47670 HWY. 58 SUITE B ,97463,Yes,,"47670 HWY. 58 SUITE B , OAKRIDGE, OR",-122.4819806,43.7460449
MR. NICE GUY RETAIL,SALEM,LANE,4340 COMMERCIAL ST SE STE 120 ,97302,,,"4340 COMMERCIAL ST SE STE 120 , SALEM, OR",-123.0344377,44.8919201
"CANNABIS, LLC",SPRINGFIELD,LANE,1936 MAIN STREET ,97477,Yes,Yes,"1936 MAIN STREET , SPRINGFIELD, OR",-122.9961872,44.0462299
CANNABLISS & CO. ,SPRINGFIELD,LANE,2600 MAIN STREET SUITE E,97477,,,"2600 MAIN STREET SUITE E, SPRINGFIELD, OR",-122.9889204,44.0463365
DEEP ROOTS CANNABIS,SPRINGFIELD,LANE,2155 OLYMPIC ST. ,97477,Yes,,"2155 OLYMPIC ST. , SPRINGFIELD, OR",-122.9934813,44.0592608
GOOD KARMA,SPRINGFIELD,LANE,3332 MAIN ST ,97478,Yes,Yes,"3332 MAIN ST , SPRINGFIELD, OR",-122.9788173,44.04616739999999
HASHSTORIA,SPRINGFIELD,LANE,1840 MAIN ST ,97477,,,"1840 MAIN ST , SPRINGFIELD, OR",-122.9976618,44.0461168
K9 CHRONIC LLC,SPRINGFIELD,LANE,1505 18TH ST. STE. AB,97477,Yes,Yes,"1505 18TH ST. STE. AB, SPRINGFIELD, OR",-122.9979426,44.0587696
MID VALLEY CANNABIS,SPRINGFIELD,LANE,2147 MAIN ST ,97477,Yes,Yes,"2147 MAIN ST , SPRINGFIELD, OR",-122.9938222,44.0455232
NECTAR MARKETS,SPRINGFIELD,LANE,3650 MAIN STREET ,97478,Yes,Yes,"3650 MAIN STREET , SPRINGFIELD, OR",-122.9741023,44.0461426
OLD SCHOOL BLISS,SPRINGFIELD,LANE,2090 OLYMPIC ST  STE D,97477,,,"2090 OLYMPIC ST  STE D, SPRINGFIELD, OR",-122.9950653,44.0602413
PHRESH START LLC,SPRINGFIELD,LANE,1623 21ST ST  STE B,97477,Yes,,"1623 21ST ST  STE B, SPRINGFIELD, OR",-122.9938445,44.0589038
URBAN CANNA APOTHECARY ,SPRINGFIELD,LANE,1815 MAIN STREET #A ,97477,,,"1815 MAIN STREET #A , SPRINGFIELD, OR",-122.9746767,44.0455189
CANNA ROYAL LLC,VENETA,LANE,25805 HWY 126 SUITE 1-B  ,97487,,,"25805 HWY 126 SUITE 1-B  , VENETA, OR",-123.323961,44.053571
MR. NICE GUY VENETA,VENETA,LANE,25561 HWY 126 ,97487,Yes,Yes,"25561 HWY 126 , VENETA, OR",-123.3326795,44.0529862
OREGON'S HERBAL REMEDIES,VENETA,LANE,88344 TERRITORIAL RD  ,97487,Yes,Yes,"88344 TERRITORIAL RD  , VENETA, OR",-123.3538752,44.0553082
FLOWER POT,DEPOE BAY,LINCOLN,433 N HWY 101 ,97341,Yes,Yes,"433 N HWY 101 , DEPOE BAY, OR",-124.0631793,44.81709980000001
HIPPY TRIP,DEPOE BAY,LINCOLN,249 S US-101 ,97341,Yes,Yes,"249 S US-101 , DEPOE BAY, OR",-124.0620422,44.8085739
MR. NICE GUY DEPOE,DEPOE BAY,LINCOLN,104 N HWY 101 ,97341,Yes,Yes,"104 N HWY 101 , DEPOE BAY, OR",-124.0621259,44.8130045
TOUCH OF ALOHA,DEPOE BAY,LINCOLN,3885 N HIGHWAY 101  SUITE B ,97341,,,"3885 N HIGHWAY 101  SUITE B , DEPOE BAY, OR",-124.0448918,44.8492246
ATTIS TRADING COMPANY,LINCOLN CITY,LINCOLN,3026 NE HWY 101 #1 ,97367,Yes,Yes,"3026 NE HWY 101 #1 , LINCOLN CITY, OR",-124.005429,44.9874192
LINCOLN CITY COLLECTIVE,LINCOLN CITY,LINCOLN,1266 SW 50TH ST ,97367,Yes,Yes,"1266 SW 50TH ST , LINCOLN CITY, OR",-124.0156765,44.92850929999999
NW ADVANTAGE,LINCOLN CITY,LINCOLN,3478 NE HWY 101 ,97367,Yes,Yes,"3478 NE HWY 101 , LINCOLN CITY, OR",-124.0057284,44.99073569999999
PACIFIC WAVE,LINCOLN CITY,LINCOLN,1543 NW 19TH SUITE B ,97367,Yes,,"1543 NW 19TH SUITE B , LINCOLN CITY, OR",-124.0114993,44.9786742
PIPE DREAMS DISPENSARY,LINCOLN CITY,LINCOLN,"1745 SW HIGHWAY 101 SUITES A, B & C",97367,Yes,,"1745 SW HIGHWAY 101 SUITES A, B & C, LINCOLN CITY, OR",-124.014168,44.9554535
RENEE'S HERB STORE LLC,LINCOLN CITY,LINCOLN,3203 SW HWY 101 ,97367,Yes,Yes,"3203 SW HWY 101 , LINCOLN CITY, OR",-124.021062,44.943238
SUNRAY CANNABIS ,LINCOLN CITY,LINCOLN,1347 NW HWY 101 ,97367,Yes,,"1347 NW HWY 101 , LINCOLN CITY, OR",-124.0130246,44.9751278
T.E.R.P COLLECTIVE INC,LINCOLN CITY,LINCOLN,4355 NE HWY 101 SUITE A ,97367,Yes,Yes,"4355 NE HWY 101 SUITE A , LINCOLN CITY, OR",-124.0049732,44.9968599
CANNAMEDICINE NEWPORT,NEWPORT,LINCOLN,157 NW 15TH ST. ,97365,Yes,Yes,"157 NW 15TH ST. , NEWPORT, OR",-124.0543344,44.6480487
I AND I NEWPORT,NEWPORT,LINCOLN,452 SW BAY BLVD ,97365,Yes,,"452 SW BAY BLVD , NEWPORT, OR",-124.0543618,44.6295706
OREGON BUD COMPANY LLC,NEWPORT,LINCOLN,837 SW BAY BLVD ,97365,Yes,Yes,"837 SW BAY BLVD , NEWPORT, OR",-124.0560252,44.62692
OREGON COAST DISPENSARY INC,NEWPORT,LINCOLN,861 A. NW BEACH DRIVE ,97365,Yes,Yes,"861 A. NW BEACH DRIVE , NEWPORT, OR",-124.0610999,44.6391563
THE MEDICATION STATION,NEWPORT,LINCOLN,454 SW COAST HIGHWAY ,97365,Yes,Yes,"454 SW COAST HIGHWAY , NEWPORT, OR",-124.0578627,44.6327908
OTIS COLLECTIVE,OTIS,LINCOLN,1257 SALMON RIVER HWY ,97368,Yes,,"1257 SALMON RIVER HWY , OTIS, OR",-123.949561,45.0195242
BERNIE'S UNIVERSAL DISPENSARIES,SOUTH BEACH,LINCOLN,3842 S COAST HWY ,97366,Yes,Yes,"3842 S COAST HWY , SOUTH BEACH, OR",-124.0517905,44.6102812
GREEN DRAGON HERBAL CLINIC,TOLEDO,LINCOLN,185 N. MAIN ST ,97391,Yes,,"185 N. MAIN ST , TOLEDO, OR",-123.9375555,44.621027
COASTAL CANNABINOIDS,WALDPORT,LINCOLN,1466 SW PACIFIC COAST HIGHWAY ,97394,Yes,Yes,"1466 SW PACIFIC COAST HIGHWAY , WALDPORT, OR",-124.081435,44.41588
DISCOVERY CANNABIS,WALDPORT,LINCOLN,250 SW HWY 101 ,97394,,,"250 SW HWY 101 , WALDPORT, OR",-124.0688062,44.4246305
MR. NICE GUY WALDPORT,WALDPORT,LINCOLN,220 NW ALSEA HWY #34 ,97394,Yes,Yes,"220 NW ALSEA HWY #34 , WALDPORT, OR",-124.0627624,44.4275348
YACHATS CANNABIS COMPANY,YACHATS,LINCOLN,430 N HWY 101 ,97498,Yes,Yes,"430 N HWY 101 , YACHATS, OR",-124.1041914,44.312717
ALBANY ALTERNATIVE HEALTH SOLUTIONS,ALBANY,LINN,820 PACIFIC BLVD SE B ,97321,Yes,,"820 PACIFIC BLVD SE B , ALBANY, OR",-123.0944716,44.6326881
BEAVER BOWLS,ALBANY,LINN,1434 PACIFIC BLVD SE ,97321,,,"1434 PACIFIC BLVD SE , ALBANY, OR",-123.0863308,44.6336164
CLOUD 9 CANNABIS,ALBANY,LINN,154 MANOR ST NE ,97322,Yes,,"154 MANOR ST NE , ALBANY, OR",-123.0591124,44.6450647
EMERALD TRIANGLE DISPENSARY,ALBANY,LINN,838 PACIFIC BLVD SE ,97321,,,"838 PACIFIC BLVD SE , ALBANY, OR",-123.093767,44.6327698
FOUR SEASONS DISPENSARY AND RESOURCE CENTER,ALBANY,LINN,30943 EHLEN DRIVE STE A ,97321,Yes,,"30943 EHLEN DRIVE STE A , ALBANY, OR",-123.1518972,44.568286
"GOING GREEN ALBANY, INC.",ALBANY,LINN,1225 S COMMERCIAL WAY SE ,97322,Yes,Yes,"1225 S COMMERCIAL WAY SE , ALBANY, OR",-123.0543014,44.6303468
HOMEGROWN OREGON,ALBANY,LINN,921 SE 9TH AVE ,97322,,,"921 SE 9TH AVE , ALBANY, OR",-123.092992,44.6326586
OREGON CANNABIS CO. ,ALBANY,LINN,1977 SANTIAM HWY.  ,97322,Yes,Yes,"1977 SANTIAM HWY.  , ALBANY, OR",-123.081215,44.634401
GREEN CROSS DISPENSARY,BROWNSVILLE,LINN,221 WEST BISHOP WAY  ,97327,Yes,Yes,"221 WEST BISHOP WAY  , BROWNSVILLE, OR",-122.9866727,44.3867089
LA MOTA,LEBANON,LINN,620 S MAIN ST ,97355,Yes,Yes,"620 S MAIN ST , LEBANON, OR",-122.9072014,44.5397959
LA MOTA LEBANON 2 LLC ,LEBANON,LINN,260 N SANTIAM HWY ,97355,,,"260 N SANTIAM HWY , LEBANON, OR",-122.9074858,44.5475596
LA MOTA LEBANON 3 LLC ,LEBANON,LINN,2645 S MAIN RD  ,97355,,,"2645 S MAIN RD  , LEBANON, OR",-122.90678,44.5207282
MODERN FOREST,LEBANON,LINN,634 S. MAIN STREET ,97355,Yes,Yes,"634 S. MAIN STREET , LEBANON, OR",-122.9074821,44.539617
MR. NICE GUY LEBANON,LEBANON,LINN,700 PARK ST ,97355,Yes,Yes,"700 PARK ST , LEBANON, OR",-122.9057487,44.5388783
THE OZ. HOUSE,LEBANON,LINN,712 PARK ST ,97355,Yes,Yes,"712 PARK ST , LEBANON, OR",-122.9057302,44.53894469999999
WANDERLUST LEBANON LLC,LEBANON,LINN,1111 S MAIN ST ,97355,,,"1111 S MAIN ST , LEBANON, OR",-122.9067639,44.5353887
"17 FARMS, LLC",SWEET HOME,LINN,550 MAIN STREET ,97386,,,"550 MAIN STREET , SWEET HOME, OR",-122.7377478,44.3984258
GOING GREEN SWEET HOME,SWEET HOME,LINN,925 MAIN ST  ,97386,Yes,Yes,"925 MAIN ST  , SWEET HOME, OR",-122.7333659,44.3970877
LA MOTA ,SWEET HOME,LINN,4320 HWY 20 ,97386,,,"4320 HWY 20 , SWEET HOME, OR",-122.6898772,44.4047612
LA MOTA SWEET HOME LLC,SWEET HOME,LINN,1025-1027 MAIN STREET ,97386,Yes,Yes,"1025-1027 MAIN STREET , SWEET HOME, OR",-122.7315235,44.3973114
TANGENT FARMACY,TANGENT,LINN,32990 HWY 99E ,97389,Yes,,"32990 HWY 99E , TANGENT, OR",-123.1104419,44.5411376
JUSTICE CANNABIS COMPANY,AURORA,MARION,21558 OR-99E ,97002,,,"21558 OR-99E , AURORA, OR",-122.7555435,45.2310728
CANYON CANNABIS,GATES,MARION,106 E CENTRAL ST ,97346,Yes,,"106 E CENTRAL ST , GATES, OR",-122.4158751,44.7553811
HIERBA BUENA ,HUBBARD,MARION,3674 PACIFIC HWY ,97032,,,"3674 PACIFIC HWY , HUBBARD, OR",-122.8039153,45.1814832
"ALPHA ALTERNATIVE SOLUTIONS, LLC",KEIZER,MARION,3700 RIVER ROAD N SUITE 11,97303,Yes,Yes,"3700 RIVER ROAD N SUITE 11, KEIZER, OR",-123.026161,44.9797391
OREGON BUD COMPANY ,KEIZER,MARION,3450 RIVER RD N ,97303,Yes,Yes,"3450 RIVER RD N , KEIZER, OR",-123.0268221,44.97561899999999
THE GRASS HUT II,KEIZER,MARION,4085 CHERRY AVENUE NE  ,97303,Yes,,"4085 CHERRY AVENUE NE  , KEIZER, OR",-123.0253042,44.98415
A PRIME LEAF,SALEM,MARION,2974 12TH ST SE ,97302,Yes,,"2974 12TH ST SE , SALEM, OR",-123.0303998,44.91178619999999
CANNAMEDICINE,SALEM,MARION,3212 TRIANGLE DR SE ,97302,Yes,Yes,"3212 TRIANGLE DR SE , SALEM, OR",-123.0461613,44.91000890000001
CAPITOL GREEN LEAF,SALEM,MARION,1890 CAPITOL ST NE ,97301,Yes,Yes,"1890 CAPITOL ST NE , SALEM, OR",-123.0201465,44.9546489
CHERRY CITY COMPASSION,SALEM,MARION,1855 25TH STREET ,97302,,,"1855 25TH STREET , SALEM, OR",-123.0107157,44.9201081
CLUB PITBULL,SALEM,MARION,1860 STATE ST ,97301,Yes,,"1860 STATE ST , SALEM, OR",-123.0186424,44.9346361
CRUSH CANNABIS,SALEM,MARION,2345 CENTER ST. NE ,97301,,,"2345 CENTER ST. NE , SALEM, OR",-123.0092726,44.94022289999999
CRUSH CANNABIS,SALEM,MARION,1026 COMMERCIAL ST NE ,97301,,,"1026 COMMERCIAL ST NE , SALEM, OR",-123.0354357,44.9506999
DIEM,SALEM,MARION,1040 COMMERCIAL STREET SE ,97302,Yes,Yes,"1040 COMMERCIAL STREET SE , SALEM, OR",-123.0436139,44.9308456
EDEN,SALEM,MARION,4618 PORTLAND RD. NE #110 ,97305,,,"4618 PORTLAND RD. NE #110 , SALEM, OR",-122.9891176,44.9869466
GREEN CROSS CANNABIS EMPORIUM,SALEM,MARION,4550 COMMERCIAL ST SE ,97302,Yes,,"4550 COMMERCIAL ST SE , SALEM, OR",-123.0331346,44.88848369999999
GREEN CROSS CANNABIS EMPORIUM,SALEM,MARION,3165 RIVER ROAD N ,97303,Yes,,"3165 RIVER ROAD N , SALEM, OR",-123.0301617,44.97227119999999
HERBAL REMEDIES 2,SALEM,MARION,3940 COMMERCIAL ST SE ,97302,Yes,Yes,"3940 COMMERCIAL ST SE , SALEM, OR",-123.0379973,44.8989309
HI CASCADE,SALEM,MARION,5070 COMMERCIAL ST SE SUITE 115 & 120,97306,Yes,Yes,"5070 COMMERCIAL ST SE SUITE 115 & 120, SALEM, OR",-123.0293173,44.8817618
HOMEGROWN OREGON,SALEM,MARION,2820 LIBERTY STREET NE ,97301,Yes,Yes,"2820 LIBERTY STREET NE , SALEM, OR",-123.0313958,44.9679624
HOMEGROWN OREGON,SALEM,MARION,1803 LANSING NE  ,97301,Yes,Yes,"1803 LANSING NE  , SALEM, OR",-122.9981015,44.9517203
INHALE DISPENSARY,SALEM,MARION,2410 MISSION STREET SE SUITE 010 ,97302,,,"2410 MISSION STREET SE SUITE 010 , SALEM, OR",-123.0126853,44.923092
KAYA SHACK (2),SALEM,MARION,5757 COMMERCIAL ST SE  SUITE 108,97306,,,"5757 COMMERCIAL ST SE  SUITE 108, SALEM, OR",-123.0243225,44.8711594
KAYA SHACK (4),SALEM,MARION,1252 23RD ST SUITE 150 ,97302,,,"1252 23RD ST SUITE 150 , SALEM, OR",-123.014331,44.92313790000001
LIVEWELL CANNABIS,SALEM,MARION,696 HAWTHORNE AVE NE ,97301,Yes,,"696 HAWTHORNE AVE NE , SALEM, OR",-122.9914549,44.9392567
LIVEWELL DISPENSARY,SALEM,MARION,1522 BROADWAY ST NE ,97301,Yes,,"1522 BROADWAY ST NE , SALEM, OR",-123.0294439,44.9537938
MARKET STREET STATION,SALEM,MARION,3175 MARKET STREET NE ,97301,Yes,,"3175 MARKET STREET NE , SALEM, OR",-122.9967462,44.95099570000001
MOON BEAM BUDZ,SALEM,MARION,2390  FAIRGROUNDS NE ,97301,,,"2390  FAIRGROUNDS NE , SALEM, OR",-123.0159334,44.9592933
MR. NICE GUY MARKET ST,SALEM,MARION,2794 MARKET ST NE ,97301,,,"2794 MARKET ST NE , SALEM, OR",-123.0010413,44.94956570000001
MR. NICE GUY RETAIL,SALEM,MARION,4340 COMMERCIAL STREET SE SUITE 170,97302,,,"4340 COMMERCIAL STREET SE SUITE 170, SALEM, OR",-123.0344377,44.8919201
MR. NICE GUY SALEM,SALEM,MARION,1460 STATE STREET ,97301,Yes,Yes,"1460 STATE STREET , SALEM, OR",-123.0235334,44.9358529
MR. NICE GUY SALEM,SALEM,MARION,3755 COMMERCIAL ST SE ,97302,Yes,Yes,"3755 COMMERCIAL ST SE , SALEM, OR",-123.0407662,44.90179
MR. NICE GUY SALEM,SALEM,MARION,1640 CAPITOL ST NE  ,97301,,,"1640 CAPITOL ST NE  , SALEM, OR",-123.0211509,44.9525629
NECTAR,SALEM,MARION,4142 LIBERTY ROAD S ,97302,Yes,Yes,"4142 LIBERTY ROAD S , SALEM, OR",-123.0553809,44.8954451
NECTAR ,SALEM,MARION,"1130 ROYVONNE AVE SE, #104 ",97302,,,"1130 ROYVONNE AVE SE, #104 , SALEM, OR",-123.0318444,44.8853279
OG COLLECTIVE,SALEM,MARION,1617 LIBERTY ST NE ,97301,,,"1617 LIBERTY ST NE , SALEM, OR",-123.0323384,44.9553225
"OG COLLECTIVE, LLC",SALEM,MARION,3537 COMMERCIAL ST SE ,97302,Yes,Yes,"3537 COMMERCIAL ST SE , SALEM, OR",-123.0415611,44.90380769999999
"OG COLLECTIVE, LLC",SALEM,MARION,3410 HAWTHORNE AVE NE ,97301,Yes,Yes,"3410 HAWTHORNE AVE NE , SALEM, OR",-122.9907995,44.9688186
"OG COLLECTIVE, LLC",SALEM,MARION,1255 CROSS ST SE SUITE 150,97302,Yes,Yes,"1255 CROSS ST SE SUITE 150, SALEM, OR",-123.0298231,44.9259598
OREGON CANNABIS OUTLET,SALEM,MARION,1330 12TH STREET SE SUITE 100,97302,Yes,Yes,"1330 12TH STREET SE SUITE 100, SALEM, OR",-123.0302173,44.92453039999999
PIPER'S DISPENSARY,SALEM,MARION,1729 CENTER ST. NE #170 ,97301,Yes,,"1729 CENTER ST. NE #170 , SALEM, OR",-123.017607,44.9396903
PRESERVE OREGON,SALEM,MARION,1201 COMMERCIAL ST SE  ,97302,Yes,Yes,"1201 COMMERCIAL ST SE  , SALEM, OR",-123.0444862,44.9291048
REEFER MADNESS,SALEM,MARION,1675 FAIRGROUNDS RD. NE ,97301,Yes,,"1675 FAIRGROUNDS RD. NE , SALEM, OR",-123.0249453,44.9540863
RIVER VALLEY REMEDIES,SALEM,MARION,1487 BROADWAY ST NE ,97301,,,"1487 BROADWAY ST NE , SALEM, OR",-123.0307916,44.953394
"SALEM ORGANICS, LLC",SALEM,MARION,4980 COMMERCIAL STREET SE ,97302,Yes,Yes,"4980 COMMERCIAL STREET SE , SALEM, OR",-123.0311255,44.8840178
THC RECREATION STATION SALEM,SALEM,MARION,1295 OXFORD ST SE ,97302,Yes,Yes,"1295 OXFORD ST SE , SALEM, OR",-123.0294968,44.92224359999999
THE BAKE SHOP,SALEM,MARION,3125B PORTLAND RD NE  ,97301,,,"3125B PORTLAND RD NE  , SALEM, OR",-123.0092255,44.9672508
THE HOLISTIC CHOICE,SALEM,MARION,1045 COMMERCIAL ST SE ,97302,Yes,Yes,"1045 COMMERCIAL ST SE , SALEM, OR",-123.0447359,44.9306981
THE JOINT ,SALEM,MARION,3270 MARKET ST. NE ,97301,Yes,Yes,"3270 MARKET ST. NE , SALEM, OR",-122.9945841,44.9497708
THE JOINT ON STATE,SALEM,MARION,2350 STATE ST ,97301,Yes,Yes,"2350 STATE ST , SALEM, OR",-123.0132812,44.9331653
TOKYO STARFISH 4,SALEM,MARION,1695 CENTER STREET ,97301,,,"1695 CENTER STREET , SALEM, OR",-123.01826,44.939529
TRUTH DISPENSARY,SALEM,MARION,1735 LANCASTER DR. NE ,97305,Yes,Yes,"1735 LANCASTER DR. NE , SALEM, OR",-122.9839854,44.9510958
WORLD FAMOUS TOP SHELF CANNABIS,SALEM,MARION,"2440 MCGILCHRIST STREET, SE ",97302,Yes,Yes,"2440 MCGILCHRIST STREET, SE , SALEM, OR",-123.0111642,44.9163703
"YAK, INC.",SALEM,MARION,1215 WILBUR ST SE ,97302,,,"1215 WILBUR ST SE , SALEM, OR",-123.0300633,44.9250887
SILVER CREEK DISPENSARY,SILVERTON,MARION,307 E. MAIN STREET ,97381,Yes,Yes,"307 E. MAIN STREET , SILVERTON, OR",-122.7816999,45.0058933
THE LUCKY LEAF,SILVERTON,MARION,208 JERSEY ST ,97381,Yes,Yes,"208 JERSEY ST , SILVERTON, OR",-122.7816598,45.00413500000001
CANNA BROS. STAYTON,STAYTON,MARION,2440 MARTIN DR ,97383,,,"2440 MARTIN DR , STAYTON, OR",-122.7930295,44.8130563
HOMEGROWN REMEDIES,STAYTON,MARION,277 N 3RD AVE ,97383,Yes,,"277 N 3RD AVE , STAYTON, OR",-122.7925667,44.79698639999999
"TODAY'S HERBAL CHOICE STAYTON, LLC",STAYTON,MARION,494 WILCO ROAD ,97132,,,"494 WILCO ROAD , STAYTON, OR",-122.8146191,44.7985627
HGR2,TURNER,MARION,7314 3RD ST SE ,97392,Yes,,"7314 3RD ST SE , TURNER, OR",-122.9546727,44.8491352
TREESTAR,WOODBURN,MARION,1385 INDUSTRIAL AVE. ,97071,Yes,Yes,"1385 INDUSTRIAL AVE. , WOODBURN, OR",-122.8304041,45.1578379
CANNABIS NATION,GRESHAM,MULTNOMAH,1500 NE DIVISION ST ,97030,Yes,,"1500 NE DIVISION ST , GRESHAM, OR",-122.4164357,45.50453479999999
GREEN MOUNTAIN FIRE,GRESHAM,MULTNOMAH,21951 SE STARK ST. ,97030,Yes,Yes,"21951 SE STARK ST. , GRESHAM, OR",-122.4361964,45.5192801
KALEAFA GRESHAM,GRESHAM,MULTNOMAH,1450 SE ORIENT DRIVE ,97080,Yes,Yes,"1450 SE ORIENT DRIVE , GRESHAM, OR",-122.3970904,45.4863837
NECTAR,GRESHAM,MULTNOMAH,505 NW BURNSIDE ,97030,Yes,Yes,"505 NW BURNSIDE , GRESHAM, OR",-122.4370705,45.5107775
SWED.CO,GRESHAM,MULTNOMAH,2058 NW BURNSIDE ,97030,Yes,,"2058 NW BURNSIDE , GRESHAM, OR",-122.4535661,45.514242
LA MOTA COURT LLC,MEDFORD,MULTNOMAH,1037 COURT ST ,97501,,,"1037 COURT ST , MEDFORD, OR",-122.8806008,42.3366955
4.0 BELMONT,PORTLAND,MULTNOMAH,4011 SE BELMONT ST. ,97214,,Yes,"4011 SE BELMONT ST. , PORTLAND, OR",-122.621418,45.5167232
ALTERNATIVE REMEDIES,PORTLAND,MULTNOMAH,8109 SE FLAVEL ,97206,Yes,Yes,"8109 SE FLAVEL , PORTLAND, OR",-122.5802249,45.4688257
ALTERNATIVE SOLUTIONS ,PORTLAND,MULTNOMAH,13560 SE POWELL BLVD. ,97236,Yes,Yes,"13560 SE POWELL BLVD. , PORTLAND, OR",-122.523903,45.497592
AMBERLIGHT CANNABIS HOUSE,PORTLAND,MULTNOMAH,2407 SE 49TH AVE ,97206,,,"2407 SE 49TH AVE , PORTLAND, OR",-122.6122374,45.5050959
AMERICANNA RX,PORTLAND,MULTNOMAH,8654 NE SANDY BLVD ,97220,Yes,Yes,"8654 NE SANDY BLVD , PORTLAND, OR",-122.5734855,45.5543049
ARATHI,PORTLAND,MULTNOMAH,3376 NE SANDY BLVD ,97232,,,"3376 NE SANDY BLVD , PORTLAND, OR",-122.629286,45.5320487
ARCHIVE PORTLAND,PORTLAND,MULTNOMAH,10645 SE HENRY STREET SUITE B,97266,Yes,Yes,"10645 SE HENRY STREET SUITE B, PORTLAND, OR",-122.5532162,45.4767263
ASCEND DISPENSARY,PORTLAND,MULTNOMAH,13836 & 13826 NE SANDY BLVD ,97230,Yes,Yes,"13836 & 13826 NE SANDY BLVD , PORTLAND, OR",-122.5206833,45.5534626
ATTIS TRADING COMPANY,PORTLAND,MULTNOMAH,7737 SW BARBUR BLVD ,97219,Yes,Yes,"7737 SW BARBUR BLVD , PORTLAND, OR",-122.6925977,45.4688952
ATTIS TRADING COMPANY,PORTLAND,MULTNOMAH,4920 NE CULLY BLVD ,97218,Yes,Yes,"4920 NE CULLY BLVD , PORTLAND, OR",-122.5978496,45.5587277
ATTIS TRADING COMPANY,PORTLAND,MULTNOMAH,"2606 SE GLADSTONE ST, #101 ",97202,Yes,Yes,"2606 SE GLADSTONE ST, #101 , PORTLAND, OR",-122.639317,45.4930354
B AND M HOLDINGS,PORTLAND,MULTNOMAH,2410 N MISSISSIPPI AVE SUITE 100,97227,,,"2410 N MISSISSIPPI AVE SUITE 100, PORTLAND, OR",-122.6754708,45.5400641
BE WONDERFUL WELLNESS-DISPENSARY,PORTLAND,MULTNOMAH,4565 NE 60TH AVE. ,97218,Yes,Yes,"4565 NE 60TH AVE. , PORTLAND, OR",-122.6011285,45.5564037
BELMONT COLLECTIVE,PORTLAND,MULTNOMAH,2036 SE BELMONT ST ,97214,Yes,Yes,"2036 SE BELMONT ST , PORTLAND, OR",-122.644721,45.516246
BIG MEDICINE BOTANICALS LLC,PORTLAND,MULTNOMAH,5594 NE COLUMBIA BLVD ,97218,,,"5594 NE COLUMBIA BLVD , PORTLAND, OR",-122.6055362,45.5692233
BRIDGE CITY COLLECTIVE,PORTLAND,MULTNOMAH,4312 N WILLIAMS AVE ,97217,Yes,Yes,"4312 N WILLIAMS AVE , PORTLAND, OR",-122.6665644,45.5550209
BRIDGE CITY COLLECTIVE,PORTLAND,MULTNOMAH,215 SE GRAND AVENUE ,97214,Yes,Yes,"215 SE GRAND AVENUE , PORTLAND, OR",-122.661031,45.5212015
BROADWAY CANNABIS MARKET,PORTLAND,MULTNOMAH,427 NW BROADWAY AVE ,97209,,,"427 NW BROADWAY AVE , PORTLAND, OR",-122.6779195,45.52635009999999
BROTHERS CANNABIS,PORTLAND,MULTNOMAH,3609 SE DIVISION ST ,97202,Yes,Yes,"3609 SE DIVISION ST , PORTLAND, OR",-122.6261699,45.5049336
BROTHERS CANNABIS,PORTLAND,MULTNOMAH,1328 SE MORRISON ST. ,97214,Yes,,"1328 SE MORRISON ST. , PORTLAND, OR",-122.6520865,45.5169485
BROTHERS CANNABIS,PORTLAND,MULTNOMAH,1639 SE FLAVEL ,97202,,,"1639 SE FLAVEL , PORTLAND, OR",-122.6486609,45.47103509999999
BTHCR PDX LLC,PORTLAND,MULTNOMAH,6611 SE POWELL BLVD ,97206,,,"6611 SE POWELL BLVD , PORTLAND, OR",-122.5952538,45.4977944
BUDDING CULTURE ,PORTLAND,MULTNOMAH,6802 NE BROADWAY ST  ,97213,,,"6802 NE BROADWAY ST  , PORTLAND, OR",-122.5931546,45.53471589999999
BUDLANDIA,PORTLAND,MULTNOMAH,16440 SE DIVISION ST SUITE B ,97236,Yes,,"16440 SE DIVISION ST SUITE B , PORTLAND, OR",-122.494031,45.5042908
